epoch,loss,val_loss
1,0.0027930487412959337,0.0010856754379346967
2,0.0013469165423884988,0.0009092002874240279
3,0.0012493416434153914,0.0009990548714995384
4,0.001195688615553081,0.000872898381203413
5,0.0011253154370933771,0.0008480410906486213
6,0.0010430493857711554,0.0007524396642111242
7,0.0009887637570500374,0.0007534641772508621
8,0.000957217940595001,0.0007132173050194979
9,0.0009309742017649114,0.0006954674609005451
10,0.000913044495973736,0.0007007303647696972
11,0.000901915889699012,0.0006695454358123243
12,0.000890082330442965,0.0006815212545916438
13,0.0008807370904833078,0.000691804219968617
14,0.0008706333464942873,0.0006727513973601162
15,0.0008602621383033693,0.0006650399300269783
16,0.0008521520649082959,0.000672049936838448
17,0.0008424614206887782,0.0006914564874023199
18,0.0008349341223947704,0.0006667541456408799
19,0.0008265026845037937,0.0006662649684585631
20,0.0008198784780688584,0.0006950863171368837
